awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
False,{},17,2023-11-29 16:20:45,False,,,TrialSource,17,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_062.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_062.wav""}",,default,default,False,10,StaticNode,Node
False,{},18,2023-11-29 16:20:45,False,,,TrialSource,18,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_076.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_076.wav""}",,default,default,False,10,StaticNode,Node
False,{},19,2023-11-29 16:20:45,False,,,TrialSource,19,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_117.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_117.wav""}",,default,default,False,11,StaticNode,Node
False,{},20,2023-11-29 16:20:45,False,,,TrialSource,20,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_088.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_088.wav""}",,default,default,False,11,StaticNode,Node
False,{},21,2023-11-29 16:20:45,False,,,TrialSource,21,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_077.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_077.wav""}",,default,default,False,10,StaticNode,Node
False,{},22,2023-11-29 16:20:45,False,,,TrialSource,22,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_107.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_107.wav""}",,default,default,False,10,StaticNode,Node
False,{},23,2023-11-29 16:20:45,False,,,TrialSource,23,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_099.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_099.wav""}",,default,default,False,10,StaticNode,Node
False,{},24,2023-11-29 16:20:45,False,,,TrialSource,24,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_070.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_070.wav""}",,default,default,False,10,StaticNode,Node
False,{},25,2023-11-29 16:20:45,False,,,TrialSource,25,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_104.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_104.wav""}",,default,default,False,11,StaticNode,Node
False,{},26,2023-11-29 16:20:45,False,,,TrialSource,26,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_105.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_105.wav""}",,default,default,False,10,StaticNode,Node
